hidden_size,num_layers,dropout,lr,f1,accuracy,precision,recall
200,2,0.3,0.001,0.5511291883292605,0.5563606302275822,0.5567263088137839,0.5456434904036632
200,2,0.3,0.01,0.5809747940793956,0.5613045451598262,0.5551708832667555,0.6092943201376936
200,3,0.0,0.0001,0.48373687281213534,0.5410101796018932,0.5514861775098732,0.4308121975773715
200,3,0.0,0.0005,0.48357740776539676,0.5409939700447384,0.5514975041597338,0.4305523982723346
200,3,0.0,0.001,0.5298793952777306,0.5513842961810284,0.555508067101186,0.5065112200824863
200,3,0.0,0.01,0.6282001159389029,0.5529566232250535,0.5370413055504334,0.7566330010067223
200,3,0.1,0.0001,0.0,0.5008591065292096,0.0,0.0
200,3,0.1,0.0005,0.4834956413903782,0.5409129222589639,0.5513913730710037,0.4304874484460754
200,3,0.1,0.001,0.526238469422617,0.5504441418660442,0.5551230763686165,0.5002110869353424
200,3,0.1,0.01,0.6150034684372213,0.5591810931725345,0.5451510892480674,0.7053875880882019
200,3,0.3,0.0001,0.4922331838565022,0.5411398560591325,0.5497856312858116,0.44558828305134285
200,3,0.3,0.0005,0.48488376323352855,0.5409777604875835,0.5511765435672635,0.4328256421914071
200,3,0.3,0.001,0.49465994148372855,0.5436523374181418,0.5529737539128341,0.44747182801286006
200,3,0.3,0.01,0.6371808129822608,0.5564092588990469,0.5383908767055766,0.7803721625044653
